t,E1,Emass,Ebound,delta,5,6,Model,CFL,Res,nCells
0.5,2.132261778768344e-05,1.1823875212257916e-14,1.6497914145929826e-13,0.003624693762135384,58588.0,1.7068341639923633e-05,plicRDF,CFL01,160,275.8853755995317
0.5,0.003663580394852384,5.551115123125784e-17,3.741451592986778e-13,0.062121995607097774,198.0,0.005050505050505048,plicRDF,CFL02,10,16.097357952321556
0.5,0.00102237360365449,4.163336342344337e-17,9.713810401762553e-15,0.030088627967210856,850.0,0.001176470588235295,plicRDF,CFL02,20,33.23514788011444
0.5,0.00026656514087857207,8.326672684688674e-17,3.26405569239796e-14,0.01471350682318831,3552.0,0.00028153153153153137,plicRDF,CFL02,40,67.96476271883817
0.5,8.97335800545614e-05,1.2212453270876722e-15,1.9984014443252818e-15,0.007267144849352045,14572.0,6.862475981334145e-05,plicRDF,CFL02,80,137.60562376696842
0.5,3.9068344880315434e-05,9.658940314238863e-15,5.4210108624275216e-20,0.003624693762135384,58588.0,1.7068341639923633e-05,plicRDF,CFL02,160,275.8853755995317
0.5,0.0025562676777484304,1.3877787807814457e-17,7.074700148761746e-14,0.062121995607097774,198.0,0.005050505050505048,plicRDF,CFL05,10,16.097357952321556
0.5,0.0011466198252758116,5.551115123125784e-17,1.021405182655144e-14,0.030088627967210856,850.0,0.001176470588235295,plicRDF,CFL05,20,33.23514788011444
0.5,0.0005967733885808352,1.1102230246251563e-16,3.1818991885756986e-13,0.01471350682318831,3552.0,0.00028153153153153137,plicRDF,CFL05,40,67.96476271883817
0.5,0.00039873733494430686,6.383782391594649e-16,2.768606210211295e-15,0.007267144849352045,14572.0,6.862475981334145e-05,plicRDF,CFL05,80,137.60562376696842
0.5,0.00025610676623342364,5.5511151231257835e-15,1.7763568394002505e-15,0.003624693762135384,58588.0,1.7068341639923633e-05,plicRDF,CFL05,160,275.8853755995317
0.5,0.0110635371160697,1.3877787807814457e-17,8.181426632242979e-20,0.062121995607097774,198.0,0.005050505050505048,MULES,CFL005,10,16.097357952321556
0.5,0.005282367170160589,8.326672684688674e-17,1.046319394227804e-18,0.030088627967210856,850.0,0.001176470588235295,MULES,CFL005,20,33.23514788011444
